"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 29 19:09:27 IST 2024","Thu Feb 29 19:09:30 IST 2024","3196","Suite1","MyFirstTest","tests.PhoneBookTest","tests.PhoneBookTest","phoneBookTest","phoneBookTest",""
"passed","Thu Feb 29 19:09:33 IST 2024","Thu Feb 29 19:09:46 IST 2024","13400","Suite1","MyFirstTest","tests.PhoneBookTest","tests.PhoneBookTest","loginOfAnExistingUserAddContact","loginOfAnExistingUserAddContact","User already exist. Login and add contact.!"
"passed","Thu Feb 29 19:09:49 IST 2024","Thu Feb 29 19:09:52 IST 2024","2163","Suite1","MyFirstTest","tests.PhoneBookTest","tests.PhoneBookTest","registrationOfAnAlreadyRegisteredUser","registrationOfAnAlreadyRegisteredUser","Registration of an already registered user!"
